Primary Key,Order No_x,Segment Number_x,Order Date,Manufacturer,Model,Product Category,Model Year,Serial Number,Meter 1 Reading,Complaint,Cause,Correction,Failure Condition - Failure Component,Fix Condition - Fix Component,Order No_y,Segment Number_y,Coverage,Qty,Part Manufacturer,Part Number,Part Description,Revenue,Cost,Invoice Date,Actual Hours,Segment Total $
SO0024816-15,SO0024816,15,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED",Leak - Hose,"O Ring - Replaced, No Component Mentioned - Filled",SO0024816,15,Not Specified,1,PASE,2081184     PASE,FILTER RECEIVERDRYER,70.25,41.8999,7/22/2022,60.0696,47856.9793
SO0024816-16,SO0024816,16,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED",Frozen - No Component Mentioned,"Tank - Drained, Rinse Tank - Drained, Boom - Drained, Recirculation System - Drained, Inductor - Drained, Filter Bowl - Removed, Filter - Cleaned, Filter - Reinstalled, Rinse Tank - Filled, RV - Filled",SO0024816,16,Not Specified,1,PASE,02348793R     PASE,BELT TENSIONER,215,129,7/22/2022,60.0696,47856.9793
SO0024816-17,SO0024816,17,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED",Leak - Boom,Pressure Regulator - Installed,SO0024816,17,Not Specified,0,PASE,2119183     PASE,TENSIONER  BELT,0,0,7/22/2022,60.0696,47856.9793
SO0024816-19,SO0024816,19,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED","Hit - Nozzle, Damaged - No Component Mentioned","Plate - Installed, Hardware - Installed, Hardware - Retightened, Shield - Created",SO0024816,19,Not Specified,2,PASE,84578037     PASE,"WASHER,SEALING",5.4,1.7198,7/22/2022,60.0696,47856.9793
SO0024816-2,SO0024816,2,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED","Not Mentioned - Engine, Not Mentioned - Fuel Filter, Not Mentioned - Filter, Not Mentioned - Hydraulic System","Engine - Replaced, Fuel Filter - Replaced, Hydraulic Oil Tank - Topped Off",SO0024816,2,Not Specified,10,PASE,84550889     PASE,HOSE,375,192.2,7/22/2022,60.0696,47856.9793
SO0024816-3,SO0024816,3,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED",Leak - Hydraulic Tank,"Hose - Reinstalled, Fitting - Retightened, Hydraulic Tank - Refilled",SO0024816,3,Not Specified,1,PASE,84534247     PASE,REMAN-A/C COMPRESSOR,466,317.18,7/22/2022,60.0696,47856.9793
SO0024905-2,SO0024905,2,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED","Blocked - Hub, Not Mentioned - Hydraulic Filter, Not Mentioned - Filter, Not Mentioned - Engine, Not Mentioned - Filter","Hub - Serviced, Hydraulic Filter - Replaced, Engine - Replaced, Engine Oil Filter - Replaced",SO0024905,2,Not Specified,1,PASE,37834528     PASE,BELT,46.75,28.9499,7/22/2022,60.0696,47856.9793
SO0025176-1,SO0025176,1,3/4/2023,PASEIH,9991 LIQ SYS,SPRAYS,2020,YLT050852,1546,Air ride adjustment and axle adjustment are not available on pro700,Unknown,CONNECT EST TO CHECK SOFTWARE VERSIONS. THE MACHINE DOES NOT ALLOW DPA TO TURN ON. CHECK FIVE CIRCUIT AND REPLACE FUSE,Not Mentioned - Not Mentioned,"Boom Recirculation System - Installed, Guidance - Installed",SO0025176,1,Not Specified,0,PASE,37834534     PASE,KIT,0,0,5/16/2023,8.3199,1319.25
SO0025176-2,SO0025176,2,3/4/2023,PASEIH,9991 LIQ SYS,SPRAYS,2020,YLT050852,1792,Perform PIP CS0722,Perform PIP CS0722,"MARK SCREWS. CHECK TORQUE TO 450. HARDWARE HAS NOT MOVED. ORDER NEW HARDWARE PER PIP. SERVICE CALL 33 MILES. REMOVE AND REPLACE SCREWS IN UPDATE. CLEAN THREAD, INSTALL LOCTITE. TORQUE TO 570 FOOT POUNDS.",Leak - Nozzle,Fence Row Nozzle - Replaced,SO0025176,2,Not Specified,2,PASE,32198547     PASE,SCREW  12 PT,29.24,24.3599,5/16/2023,2.9999,493.88
SO0025403-1,SO0025403,1,3/8/2023,PASEIH,9861,SPRAYS,,YPT056717,12,Fuel door will not stay open,GAS STRUT NOT INSTALLED OR ANYWHERE ON MACHINE,"It was found that the gas strut is not installed or is not installed anywhere on the machine. Install the gas pressure spring, run it and test it",Error Code - Sensor,Sensor - Replaced,SO0025403,1,Not Specified,1,PASE,84088173     PASE,GAS STRUT,12.97,10.81,4/25/2023,1.28,211.22
SO0025623-3,SO0025623,3,3/8/2023,PASEIH,9861,SPRAYS,,YPT056717,0,VISIBLY NOTICE fasteners under cab on P clips and air ducting left Loose,Not tighten at factory.,"TIGHTEN AND TIGHTEN ALL P-CLIPS, NUTS AND BOLTS AS NECESSARY. ALSO FOUND TWO BULKHEAD CONNECTIONS, NOT COMPLETELY LOCKED, ON THE LEFT BACK OF THE MACHINE AND ONE ON THE RIGHT BOOM. RUNNING TESTS NO ERROR",Broken - Harness,No Component Mentioned - No Component Mentioned,SO0025623,3,Not Specified,4,PASE,25500593     PASE,BOLT,5.9199,4.9199,4/25/2023,2.28,368.7298
SO0025623-4,SO0025623,4,3/8/2023,PASEIH,9861,SPRAYS,,YPT056717,0,VISIBLY NOTICE fasteners under cab on P clips and air ducting left Loose,Not tighten at factory.,"TIGHTEN AND TIGHTEN ALL P-CLIPS, NUTS AND BOLTS AS NECESSARY. ALSO FOUND TWO BULKHEAD CONNECTIONS, NOT COMPLETELY LOCKED, ON THE LEFT BACK OF THE MACHINE AND ONE ON THE RIGHT BOOM. RUNNING TESTS NO ERROR",Inoperative - Boom,No Component Mentioned - No Component Mentioned,SO0025623,4,Not Specified,4,PASE,124437     PASE,BOLT,3.76,3.12,4/25/2023,2.28,368.7298
SO0026296-1,SO0026296,1,3/8/2023,PASEIH,9861,SPRAYS,,YPT056717,0,VISIBLY NOTICE fasteners under cab on P clips and air ducting left Loose,Not tighten at factory.,"TIGHTEN AND TIGHTEN ALL P-CLIPS, NUTS AND BOLTS AS NECESSARY. ALSO FOUND TWO BULKHEAD CONNECTIONS, NOT COMPLETELY LOCKED, ON THE LEFT BACK OF THE MACHINE AND ONE ON THE RIGHT BOOM. RUNNING TESTS NO ERROR",Leak - Tank,"Clamp - Removed, O Ring - Inspected",SO0026296,1,Not Specified,8,PASE,2271313     PASE,WASHER,5.9199,5.56,4/25/2023,2.28,368.7298
SO0026385-1,SO0026385,1,3/8/2023,PASEIH,9861,SPRAYS,,YPT056717,14,"Compressor pressure line, braided steel, crushed","Compressor pressure line, braided steel, crushed when deliverd.",RELEASE AIR FROM THE SYSTEM. REMOVE ASSOCIATED P-CLIPS. REMOVE AND REPLACE BRAIDED STEEL COMPRESSOR LINE. ONGOING TEST.,Error Code - Module,"Supply Module - Cleared Fault, Supply Module - Reset",SO0026385,1,Not Specified,1,PASE,472973     PASE,HOSE,114.23,95.1899,4/25/2023,0.6999,516.92
